,precision,recall,f1-score,support
Abyssinian,0.8484848484848485,0.8571428571428571,0.8527918781725888,98.0
american_bulldog,0.7142857142857143,0.9,0.7964601769911505,100.0
american_pit_bull_terrier,0.8387096774193549,0.52,0.6419753086419753,100.0
basset_hound,0.978494623655914,0.91,0.9430051813471503,100.0
beagle,0.9038461538461539,0.94,0.9215686274509803,100.0
Bengal,0.8241758241758241,0.75,0.7853403141361257,100.0
Birman,0.7735849056603774,0.82,0.7961165048543689,100.0
Bombay,0.875,0.875,0.875,88.0
boxer,0.8348623853211009,0.9191919191919192,0.875,99.0
British_Shorthair,0.7304347826086957,0.84,0.7813953488372093,100.0
chihuahua,0.9540229885057471,0.83,0.8877005347593583,100.0
Egyptian_Mau,0.8736842105263158,0.8556701030927835,0.8645833333333334,97.0
english_cocker_spaniel,0.9888888888888889,0.89,0.9368421052631579,100.0
english_setter,0.9150943396226415,0.97,0.941747572815534,100.0
german_shorthaired,0.8849557522123894,1.0,0.9389671361502347,100.0
great_pyrenees,1.0,0.97,0.9847715736040609,100.0
havanese,0.9387755102040817,0.92,0.9292929292929293,100.0
japanese_chin,0.9519230769230769,0.99,0.9705882352941176,100.0
keeshond,0.98,0.98989898989899,0.9849246231155779,99.0
leonberger,0.9801980198019802,0.99,0.9850746268656716,100.0
Maine_Coon,0.8172043010752689,0.76,0.7875647668393783,100.0
miniature_pinscher,0.9529411764705882,0.81,0.8756756756756757,100.0
newfoundland,0.9615384615384616,1.0,0.9803921568627451,100.0
Persian,0.9183673469387755,0.9,0.9090909090909091,100.0
pomeranian,0.9583333333333334,0.92,0.9387755102040817,100.0
pug,1.0,0.91,0.9528795811518325,100.0
Ragdoll,0.6290322580645161,0.78,0.6964285714285714,100.0
Russian_Blue,0.8947368421052632,0.68,0.7727272727272727,100.0
saint_bernard,0.9607843137254902,0.98,0.9702970297029703,100.0
samoyed,0.9339622641509434,0.99,0.9611650485436893,100.0
scottish_terrier,0.9801980198019802,1.0,0.99,99.0
shiba_inu,0.9326923076923077,0.97,0.9509803921568627,100.0
Siamese,0.9347826086956522,0.86,0.8958333333333334,100.0
Sphynx,0.8828828828828829,0.98,0.9289099526066351,100.0
staffordshire_bull_terrier,0.6435643564356436,0.7303370786516854,0.6842105263157895,89.0
wheaten_terrier,0.9587628865979382,0.93,0.9441624365482234,100.0
yorkshire_terrier,0.9615384615384616,1.0,0.9803921568627451,100.0
accuracy,0.8907059144180975,0.8907059144180975,0.8907059144180975,0.8907059144180975
macro avg,0.8948849600862326,0.8901957012967092,0.8895305765128712,3669.0
weighted avg,0.8957160157167068,0.8907059144180975,0.8901846712806459,3669.0
