split,file_name,breed_label,breed_name,species_label,species_name,height,width,channels
train,Sphynx_158.jpg,33,Sphynx,0,Cat,500,500,3
train,english_cocker_spaniel_135.jpg,12,english_cocker_spaniel,1,Dog,313,500,3
train,British_Shorthair_181.jpg,9,British_Shorthair,0,Cat,500,333,3
train,Siamese_161.jpg,32,Siamese,0,Cat,375,500,3
train,Sphynx_178.jpg,33,Sphynx,0,Cat,500,333,3
train,american_pit_bull_terrier_139.jpg,2,american_pit_bull_terrier,1,Dog,219,300,3
train,newfoundland_122.jpg,22,newfoundland,1,Dog,400,500,3
train,newfoundland_108.jpg,22,newfoundland,1,Dog,500,333,3
train,yorkshire_terrier_131.jpg,36,yorkshire_terrier,1,Dog,191,300,3
train,Bengal_149.jpg,5,Bengal,0,Cat,225,300,3
train,Birman_127.jpg,6,Birman,0,Cat,375,500,3
train,saint_bernard_186.jpg,28,saint_bernard,1,Dog,333,500,3
train,Siamese_175.jpg,32,Siamese,0,Cat,375,500,3
train,chihuahua_187.jpg,10,chihuahua,1,Dog,300,200,3
train,german_shorthaired_150.jpg,14,german_shorthaired,1,Dog,500,333,3
train,basset_hound_136.jpg,3,basset_hound,1,Dog,375,500,3
train,newfoundland_165.jpg,22,newfoundland,1,Dog,333,500,3
train,english_cocker_spaniel_185.jpg,12,english_cocker_spaniel,1,Dog,375,500,3
train,Siamese_154.jpg,32,Siamese,0,Cat,375,500,3
train,Bengal_119.jpg,5,Bengal,0,Cat,500,356,3
train,saint_bernard_127.jpg,28,saint_bernard,1,Dog,334,500,3
train,Abyssinian_196.jpg,0,Abyssinian,0,Cat,225,300,3
train,american_bulldog_178.jpg,1,american_bulldog,1,Dog,334,500,3
train,american_pit_bull_terrier_183.jpg,2,american_pit_bull_terrier,1,Dog,300,225,3
train,japanese_chin_134.jpg,17,japanese_chin,1,Dog,500,429,3
train,pug_190.jpg,25,pug,1,Dog,300,274,3
train,Russian_Blue_191.jpg,27,Russian_Blue,0,Cat,500,335,3
train,boxer_104.jpg,8,boxer,1,Dog,375,500,3
train,great_pyrenees_14.jpg,15,great_pyrenees,1,Dog,333,480,3
train,pug_126.jpg,25,pug,1,Dog,300,203,3
train,samoyed_145.jpg,29,samoyed,1,Dog,375,500,3
train,english_cocker_spaniel_119.jpg,12,english_cocker_spaniel,1,Dog,362,500,3
train,Birman_125.jpg,6,Birman,0,Cat,500,334,3
train,english_setter_178.jpg,13,english_setter,1,Dog,500,365,3
train,english_cocker_spaniel_177.jpg,12,english_cocker_spaniel,1,Dog,500,500,3
train,english_cocker_spaniel_158.jpg,12,english_cocker_spaniel,1,Dog,500,372,3
train,american_bulldog_127.jpg,1,american_bulldog,1,Dog,334,500,3
train,scottish_terrier_129.jpg,30,scottish_terrier,1,Dog,335,500,3
train,staffordshire_bull_terrier_14.jpg,34,staffordshire_bull_terrier,1,Dog,500,351,3
train,British_Shorthair_144.jpg,9,British_Shorthair,0,Cat,375,500,3
train,havanese_134.jpg,16,havanese,1,Dog,334,500,3
train,British_Shorthair_119.jpg,9,British_Shorthair,0,Cat,375,500,3
