,precision,recall,f1-score,support
Abyssinian,0.22580645161290322,0.14285714285714285,0.175,98.0
american_bulldog,0.15,0.03,0.05,100.0
american_pit_bull_terrier,0.0,0.0,0.0,100.0
basset_hound,0.0594059405940594,0.24,0.09523809523809523,100.0
beagle,0.06060606060606061,0.04,0.04819277108433735,100.0
Bengal,0.21621621621621623,0.08,0.11678832116788321,100.0
Birman,0.09876543209876543,0.08,0.08839779005524862,100.0
Bombay,0.2857142857142857,0.3181818181818182,0.3010752688172043,88.0
boxer,0.07692307692307693,0.04040404040404041,0.052980132450331126,99.0
British_Shorthair,0.12598425196850394,0.16,0.14096916299559473,100.0
chihuahua,0.045454545454545456,0.01,0.01639344262295082,100.0
Egyptian_Mau,0.2830188679245283,0.15463917525773196,0.2,97.0
english_cocker_spaniel,0.044444444444444446,0.02,0.027586206896551724,100.0
english_setter,0.03896103896103896,0.06,0.047244094488188976,100.0
german_shorthaired,0.08178438661710037,0.44,0.13793103448275862,100.0
great_pyrenees,0.09873949579831932,0.47,0.16319444444444445,100.0
havanese,0.0,0.0,0.0,100.0
japanese_chin,0.09090909090909091,0.02,0.03278688524590164,100.0
keeshond,0.14351851851851852,0.31313131313131315,0.19682539682539682,99.0
leonberger,0.12195121951219512,0.05,0.07092198581560284,100.0
Maine_Coon,0.1724137931034483,0.05,0.07751937984496124,100.0
miniature_pinscher,0.14285714285714285,0.01,0.018691588785046728,100.0
newfoundland,0.2154696132596685,0.39,0.2775800711743772,100.0
Persian,0.02857142857142857,0.02,0.023529411764705882,100.0
pomeranian,0.234375,0.15,0.18292682926829268,100.0
pug,0.06666666666666667,0.01,0.017391304347826087,100.0
Ragdoll,0.13186813186813187,0.12,0.1256544502617801,100.0
Russian_Blue,0.13636363636363635,0.06,0.08333333333333333,100.0
saint_bernard,0.11475409836065574,0.07,0.08695652173913043,100.0
samoyed,0.12574850299401197,0.21,0.15730337078651685,100.0
scottish_terrier,0.07272727272727272,0.04040404040404041,0.05194805194805195,99.0
shiba_inu,0.058823529411764705,0.02,0.029850746268656716,100.0
Siamese,0.15384615384615385,0.06,0.08633093525179857,100.0
Sphynx,0.21739130434782608,0.1,0.136986301369863,100.0
staffordshire_bull_terrier,0.07482993197278912,0.12359550561797752,0.09322033898305085,89.0
wheaten_terrier,0.058823529411764705,0.05,0.05405405405405406,100.0
yorkshire_terrier,0.06666666666666667,0.01,0.017391304347826087,100.0
accuracy,0.11174707004633415,0.11174707004633415,0.11174707004633415,0.11174707004633415
macro avg,0.1167675601703427,0.11251927123929904,0.09411332503134492,3669.0
weighted avg,0.11616092493181461,0.11174707004633415,0.09330314038706254,3669.0
