,Abyssinian,american_bulldog,american_pit_bull_terrier,basset_hound,beagle,Bengal,Birman,Bombay,boxer,British_Shorthair,chihuahua,Egyptian_Mau,english_cocker_spaniel,english_setter,german_shorthaired,great_pyrenees,havanese,japanese_chin,keeshond,leonberger,Maine_Coon,miniature_pinscher,newfoundland,Persian,pomeranian,pug,Ragdoll,Russian_Blue,saint_bernard,samoyed,scottish_terrier,shiba_inu,Siamese,Sphynx,staffordshire_bull_terrier,wheaten_terrier,yorkshire_terrier
Abyssinian,14,0,0,12,1,2,4,3,1,5,1,2,3,2,4,6,0,2,0,1,5,0,1,4,1,2,1,1,2,2,2,0,2,6,2,3,1
american_bulldog,0,3,0,10,2,0,3,3,1,2,0,1,0,5,22,24,0,0,2,0,1,0,3,2,0,1,1,1,1,3,2,0,2,0,4,1,0
american_pit_bull_terrier,2,1,0,29,4,3,1,2,1,0,1,2,2,7,16,6,0,0,3,2,0,0,2,0,0,0,1,0,1,3,0,0,0,0,8,2,1
basset_hound,1,0,0,24,3,4,0,1,1,1,0,0,2,2,25,8,0,0,3,2,0,0,1,1,0,0,0,2,6,3,0,0,1,0,7,1,1
beagle,0,0,0,17,4,4,1,2,4,1,0,0,2,4,22,10,0,1,1,0,3,0,0,2,0,0,2,0,5,2,3,1,3,2,3,0,1
Bengal,3,0,0,20,3,8,0,0,5,1,0,1,2,10,22,5,0,0,1,2,2,0,1,2,0,0,0,0,7,0,0,2,1,2,0,0,0
Birman,1,0,0,6,1,0,8,2,0,12,2,0,1,4,3,18,0,0,2,0,0,0,4,7,2,0,7,2,0,9,0,0,1,0,3,4,1
Bombay,0,0,0,13,2,0,0,28,0,0,1,1,0,1,2,3,0,0,0,1,0,1,16,4,0,1,0,1,0,0,8,0,0,0,5,0,0
boxer,1,0,0,24,2,1,0,2,4,2,0,0,7,10,15,5,1,0,2,1,0,0,3,1,0,0,1,0,2,1,3,0,2,1,5,3,0
British_Shorthair,1,0,0,7,1,0,3,4,2,16,0,3,0,4,3,10,1,1,20,0,1,0,2,1,3,0,4,4,0,3,1,0,0,1,1,3,0
chihuahua,6,2,0,19,4,2,1,4,3,0,1,2,1,2,9,10,0,1,3,0,0,0,1,2,5,0,3,0,1,5,1,1,1,5,4,0,1
Egyptian_Mau,0,2,0,5,2,0,2,5,3,2,2,15,0,7,8,10,0,0,8,1,0,0,0,0,0,3,2,7,0,4,1,2,0,3,1,2,0
english_cocker_spaniel,3,0,0,16,0,2,0,0,2,1,0,1,2,4,32,8,0,0,3,0,1,0,8,0,0,0,0,1,2,2,2,2,0,0,6,2,0
english_setter,1,1,0,14,3,1,0,3,1,2,1,0,0,6,21,17,0,0,7,3,1,0,4,3,0,0,0,0,1,4,0,0,0,0,3,3,0
german_shorthaired,0,0,0,12,0,0,0,0,1,2,0,0,2,3,44,3,0,0,4,0,0,0,7,0,0,0,0,0,1,0,0,1,1,0,18,1,0
great_pyrenees,0,2,0,2,4,0,0,1,0,1,0,2,0,2,2,47,0,1,6,1,0,0,0,0,1,0,4,2,2,14,0,0,0,1,3,2,0
